time,SpO2,Heartbeat,Temperature
2024-03-08 13:47:45,96,70,36.5059427
2024-01-14 21:35:17,100,90,36.6925054
2024-02-26 19:04:30,100,99,36.78353827
2024-03-03 02:57:11,97,78,36.82253327
2024-01-17 11:39:45,96,89,36.85111449
2024-03-13 14:56:59,100,71,36.38133166
2024-02-26 07:07:25,96,92,36.52819355
2024-03-07 20:17:54,100,73,36.86120844
2024-01-15 03:24:43,97,85,37.01368079
2024-02-01 08:19:30,95,68,36.09682675
2024-03-07 16:48:23,98,88,36.52339981
2024-02-21 10:28:15,98,74,37.47981732
2024-02-18 03:24:01,96,90,36.84415027
2024-02-22 13:21:22,99,65,37.42555084
2024-01-18 05:35:07,97,65,37.06335754
2024-02-04 20:42:48,99,92,36.7730717
2024-03-18 01:16:52,99,91,36.84839518
2024-03-14 12:21:59,99,60,37.32223727
2024-01-25 03:19:32,100,70,36.40725741
2024-01-04 21:16:59,99,84,37.22195608
2024-03-15 22:24:29,98,94,36.5593508
2024-01-04 03:49:41,97,79,36.66408965
2024-03-14 19:54:26,100,96,36.89254695
2024-02-02 03:11:21,95,66,37.171336
2024-03-02 23:21:23,100,84,36.79438791
2024-02-01 10:29:03,100,76,36.32031341
2024-02-21 02:24:07,100,95,37.35138069
2024-03-05 15:37:58,100,69,37.0850922
2024-02-25 19:10:31,100,72,36.91692898
2024-01-30 07:35:37,95,81,36.67770117
2024-02-28 07:39:46,100,97,36.17853675
2024-02-01 05:30:22,100,89,37.32810626
2024-01-17 04:46:16,98,100,37.40170933
2024-03-08 18:48:08,100,64,36.89141413
2024-03-02 04:38:00,96,75,36.53141266
2024-03-16 16:35:49,96,89,36.67408043
2024-02-17 03:42:04,95,64,36.60191093
2024-03-12 05:39:02,96,75,37.22243305
2024-02-27 05:41:27,95,64,36.29427917
2024-01-30 07:28:01,96,90,36.02441209
2024-01-12 11:29:13,98,95,36.72720414
2024-01-05 22:11:42,97,79,37.35691642
2024-03-05 16:49:14,100,98,36.62052487
2024-02-03 07:48:15,100,62,36.66629115
2024-02-16 20:16:59,95,92,36.38414928
2024-03-06 10:54:39,100,84,37.47309547
2024-01-22 04:32:46,99,89,36.24632497
2024-02-29 16:12:39,95,62,36.55185626
2024-01-13 22:23:57,98,67,37.22819603
2024-03-05 07:31:38,96,78,36.33651185
2024-03-17 02:25:45,95,77,36.58423138
2024-03-07 09:16:56,98,69,37.0019971
2024-01-12 02:30:05,95,88,36.0292846
2024-03-13 21:45:59,96,75,36.401203
2024-03-03 21:13:45,97,80,36.02942815
2024-01-06 14:06:04,98,86,36.20315312
